"pais","codigo","anio","poblacion","pbi_total","pbi_per_capita","co2_total","co2_pc"
"Argentina","ARG",2000,37213986,536480965694,14416.1113430311,143.355,3.852
"Argentina","ARG",2001,37624817,514867255248,13684.2460987385,135.004,3.588
"Argentina","ARG",2002,38029345,460558541367,12110.6093561959,124.93,3.285
"Argentina","ARG",2003,38424283,503104157615,13093.3909063443,134.421,3.498
"Argentina","ARG",2004,38815915,550306327169,14177.3374959472,157.235,4.051
"Argentina","ARG",2005,39216786,601050418142,15326.3558656235,161.728,4.124
"Argentina","ARG",2006,39622113,652296814311,16462.9487153045,174.342,4.4
"Argentina","ARG",2007,40016767,714725198062,17860.6432164298,173.764,4.342
"Argentina","ARG",2008,40424151,747157417513,18482.9464325175,187.596,4.641
"Argentina","ARG",2009,40854832,705920838368,17278.7600342598,178.378,4.366
"Argentina","ARG",2010,41288694,785785170150,19031.4852329793,186.121,4.508
"Argentina","ARG",2011,41730655,837742673804,20074.994600588,189.884,4.55
"Argentina","ARG",2012,42161718,829147409948,19665.8829212794,191.715,4.547
"Argentina","ARG",2013,42582453,849088398588,19939.8658078246,189.525,4.451
"Argentina","ARG",2014,43024071,827750786191,19239.2483312655,188.539,4.382
"Argentina","ARG",2015,43477011,850356641236,19558.7650042456,191.809,4.412
"Argentina","ARG",2016,43900312,832669278245,18967.2747256329,190.02,4.328
"Argentina","ARG",2017,44288898,856142153676,19330.8524785602,187.068,4.224
"Argentina","ARG",2018,44654876,833736983405,18670.6818624913,182.483,4.087
"Argentina","ARG",2019,44973469,817053926667,18167.465059611,180.428,4.012
"Argentina","ARG",2020,45191960,735814250460,16281.9725114821,164.613,3.643
"Argentina","ARG",2021,45312282,812324184006,17927.2406542226,190.197,4.197
"Argentina","ARG",2022,45407904,854914363923,18827.4350633537,183.768,4.047
"Brazil","BRA",2000,174018278,1739728033832,9997.38679078298,340.183,1.955
"Brazil","BRA",2001,176301201,1785513006345,10127.6281512399,346.166,1.963
"Brazil","BRA",2002,178503485,1861742323845,10429.7253571548,347.765,1.948
"Brazil","BRA",2003,180622688,1904932706436,10546.4752381273,344.645,1.908
"Brazil","BRA",2004,182675144,2038447931287,11158.8686159021,361.434,1.979
"Brazil","BRA",2005,184688101,2129214530430,11528.7044422532,364.371,1.973
"Brazil","BRA",2006,186653099,2240805319046,12005.1867933144,368.871,1.976
"Brazil","BRA",2007,188552311,2405626901513,12758.4058172217,390.573,2.071
"Brazil","BRA",2008,190367297,2559842659987,13446.8614112171,412.638,2.168
"Brazil","BRA",2009,192079958,2589568436235,13481.721170696,389.775,2.029
"Brazil","BRA",2010,193701931,2820492538862,14560.9934000193,440.269,2.273
"Brazil","BRA",2011,195284736,2968455007203,15200.6504348758,461.911,2.365
"Brazil","BRA",2012,196876113,3025484250011,15367.4521703453,497.468,2.527
"Brazil","BRA",2013,198478290,3116394665745,15701.4385086903,531.569,2.678
"Brazil","BRA",2014,200085126,3132099937531,15653.8369450361,556.526,2.781
"Brazil","BRA",2015,201675534,3021043246476,14979.7210725422,528.174,2.619
"Brazil","BRA",2016,203218108,2922076150345,14379.0146414757,491.745,2.42
"Brazil","BRA",2017,204703440,2960731613785,14463.516655045,497.255,2.429
"Brazil","BRA",2018,206107265,3013541086239,14621.2268948356,476.601,2.312
"Brazil","BRA",2019,207455459,3050327159562,14703.5280453237,476.724,2.298
"Brazil","BRA",2020,208660845,2950377451264,14139.5835489116,447.999,2.147
"Brazil","BRA",2021,209550291,3097565215045,14781.9657050488,496.562,2.37
"Brazil","BRA",2022,210306411,3187412907763,15156.0425219895,480.058,2.283
"Chile","CHL",2000,15503638,233340518904,15050.6944824176,58.503,3.773
"Chile","CHL",2001,15683852,239642803054,15279.5883979267,52.918,3.374
"Chile","CHL",2002,15857926,243288829547,15341.7811097744,54.836,3.458
"Chile","CHL",2003,16024755,250723122339,15645.9878693309,55.1,3.438
"Chile","CHL",2004,16187324,264146071325,16318.0814398353,59.221,3.658
"Chile","CHL",2005,16348780,278000705012,17004.3700515879,61.116,3.738
"Chile","CHL",2006,16509195,293258343549,17763.3339208241,64.048,3.88
"Chile","CHL",2007,16671571,305709457316,18337.1715428618,70.469,4.227
"Chile","CHL",2008,16838987,314032357531,18649.1240554435,70.549,4.19
"Chile","CHL",2009,17009730,306660166266,18028.5146363875,65.96,3.878
"Chile","CHL",2010,17181463,321457401232,18709.5476812423,71.347,4.153
"Chile","CHL",2011,17351810,338708860136,19520.0881139201,78.071,4.499
"Chile","CHL",2012,17519116,359556383692,20523.6601944984,79.621,4.545
"Chile","CHL",2013,17687006,371454072393,21001.523513533,81.733,4.621
"Chile","CHL",2014,17864192,378114271615,21166.0438722893,77.586,4.343
"Chile","CHL",2015,18047630,386251266445,21401.7722241092,81.778,4.531
"Chile","CHL",2016,18267225,393022253885,21515.1591927619,84.25,4.612
"Chile","CHL",2017,18558868,398359518680,21464.6452940988,84.135,4.533
"Chile","CHL",2018,18893185,414254051745,21926.1099568442,84.443,4.469
"Chile","CHL",2019,19197748,417331966568,21738.5896808313,91.977,4.791
"Chile","CHL",2020,19370621,391686945225,20220.6705311616,80.178,4.139
"Chile","CHL",2021,19456323,437659188270,22494.4450331134,83.63,4.298
"Chile","CHL",2022,19553033,448338105532,22929.3381508639,85.744,4.385
"Colombia","COL",2000,39089939,330615619673,8457.81876694666,56.213,1.438
"Colombia","COL",2001,39709263,336096684249,8463.93659456737,56.465,1.422
"Colombia","COL",2002,40324684,344517683680,8543.59289411915,55.417,1.374
"Colombia","COL",2003,40937426,357889195415,8742.34729401404,57.033,1.393
"Colombia","COL",2004,41543177,376728225954,9068.35377453198,54.324,1.308
"Colombia","COL",2005,42128978,394076061209,9354.03800227482,60.256,1.43
"Colombia","COL",2006,42691081,420283862175,9844.76973480714,62.466,1.463
"Colombia","COL",2007,43235374,448731322364,10378.8005248665,60.67,1.403
"Colombia","COL",2008,43758805,464038717488,10604.4650325346,66.982,1.531
"Colombia","COL",2009,44271543,471326580093,10646.2650306315,71.771,1.621
"Colombia","COL",2010,44777325,489870174161,10940.1393263443,75.431,1.685
"Colombia","COL",2011,45259614,521323240921,11518.5083310918,75.191,1.661
"Colombia","COL",2012,45715807,541722649583,11849.7886208812,78.675,1.721
"Colombia","COL",2013,46151583,569534665242,12340.5228644487,86.445,1.873
